"ID","×ÜÖ¡Êý","µÚ1Ö¡Í¼","µÚ2Ö¡Í¼","µÚ3Ö¡Í¼","µÚ4Ö¡Í¼","µÚ5Ö¡Í¼","µÚ6Ö¡Í¼","µÚ7Ö¡Í¼","µÚ8Ö¡Í¼","µÚ9Ö¡Í¼","µÚ10Ö¡Í¼","µÚ11Ö¡Í¼","µÚ12Ö¡Í¼","µÚ13Ö¡Í¼","µÚ14Ö¡Í¼","µÚ15Ö¡Í¼","µÚ16Ö¡Í¼","µÚ17Ö¡Í¼","µÚ18Ö¡Í¼","µÚ19Ö¡Í¼","µÚ20Ö¡Í¼","µÚ21Ö¡Í¼","µÚ22Ö¡Í¼","µÚ23Ö¡Í¼","µÚ24Ö¡Í¼","µÚ25Ö¡Í¼","µÚ26Ö¡Í¼","µÚ27Ö¡Í¼","µÚ28Ö¡Í¼","µÚ29Ö¡Í¼","µÚ30Ö¡Í¼","µÚ31Ö¡Í¼","Ã¿Ö¡ÃëÊý","Tips","¿ì½Ý¼ü"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#0"
"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#1"
"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#2"
"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#3"
"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#4"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#5"
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#6"
"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#7"
"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#8"
"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#9"
"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#10"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#11"
"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#12"
"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#13"
"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#14"
"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#15"
"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#16"
"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#17"
"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#18"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#19"
"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#20"
"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#21"
"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#22"
"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#23"
"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#24"
"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#25"
"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#26"
"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#27"
"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#28"
"150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#150"
"151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#151"
"152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#152"
"153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#153"
"154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#154"
"155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#155"
"156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#156"
"157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#157"
"160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#160"
"161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#161"
"162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#162"
"163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#163"
"164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#164"
"165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#165"
"166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#166"
"167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#167"
"168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#168"
"169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#169"
"170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#170"
"171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#171"
"172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#172"
"173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#173"
"174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#174"
"175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#175"
"176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#176"
"177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#177"
"178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#178"
"179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#179"
"180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#180"
"181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#181"
"182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#182"
"183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#183"
"184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#184"
"185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#185"
"186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#186"
"187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#187"
"188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#188"
"189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#189"
"190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#190"
"191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#191"
"200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#200"
"201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#201"
"202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#202"
"203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#203"
"204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#204"
"205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#205"
"206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#206"
"207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#207"
"208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#208"
"209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#209"
"210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#210"
"211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#211"
"212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#212"
"213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#213"
"214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#214"
"215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#215"
"216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#216"
"217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#217"
"218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#218"
"219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#219"
"220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#220"
"221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#221"
"222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#222"
"223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#223"
"224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#224"
"225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#225"
"226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#226"
"227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#227"
"228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#228"
"229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#229"
"230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#230"
"231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#231"
"232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#232"
"233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#233"
"234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#234"
"235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#235"
"236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#236"
"237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#237"
"238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#238"
"239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#239"
"240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#240"
"241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#241"
"242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#242"
"243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#243"
"244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#244"
"245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#245"
"246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#246"
"247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#247"
"248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#248"
"249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#249"
"300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#300"
"301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#301"
"302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#302"
"303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#303"
"304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#304"
"305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#305"
"306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#306"
"307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#307"
"308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#308"
"309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#309"
"310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#310"
"311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#311"
"312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#312"
"313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#313"
"314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#314"
"315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#315"
"316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#316"
"700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#700"
"701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#701"
"702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#702"
"703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#703"
"704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#704"
"705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#705"
"706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#706"
"707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#707"
