"编号","礼包道具ID","角色限制","性别限制","打开礼包时的客户端提示","奖励表ID","银币奖励","符石奖励","货币类型","货币值","道具1ID","道具2ID","道具3ID","道具4ID","道具5ID","道具6ID","道具7ID","道具8ID","道具9ID","道具10ID","道具11ID","道具12ID","道具1数量","道具2数量","道具3数量","道具4数量","道具5数量","道具6数量","道具7数量","道具8数量","道具9数量","道具10数量","道具11数量","道具12数量","道具1绑定","道具2绑定","道具3绑定","道具4绑定","道具5绑定","道具6绑定","道具7绑定","道具8绑定","道具9绑定","道具10绑定","道具11绑定","道具12绑定"
"2716","334000","1","0","0","0","0","0","","","335000","32037","32038","4001114","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2717","334000","2","0","0","0","0","0","","","335000","32037","32038","4001115","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2718","334000","3","0","0","0","0","0","","","335000","32037","32038","4001116","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2719","334000","4","0","0","0","0","0","","","335000","32037","32038","4001117","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2720","334000","5","0","0","0","0","0","","","335000","32037","32038","4001118","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2721","334000","6","0","0","0","0","0","","","335000","32037","32038","4001119","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2722","334001","1","0","0","0","0","0","","","335000","32014","32015","4010114","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2723","334001","2","0","0","0","0","0","","","335000","32014","32015","4010115","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2724","334001","3","0","0","0","0","0","","","335000","32014","32015","4010116","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2725","334001","4","0","0","0","0","0","","","335000","32014","32015","4010117","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2726","334001","5","0","0","0","0","0","","","335000","32014","32015","4010118","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2727","334001","6","0","0","0","0","0","","","335000","32014","32015","4010119","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2728","334002","1","0","0","0","0","0","","","335004","4020114","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2729","334002","2","0","0","0","0","0","","","335004","4020115","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2730","334002","3","0","0","0","0","0","","","335004","4020116","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2731","334002","4","0","0","0","0","0","","","335004","4020117","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2732","334002","5","0","0","0","0","0","","","335004","4020118","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2733","334002","6","0","0","0","0","0","","","335004","4020119","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2734","334003","1","0","0","0","0","0","","","335002","35003","5030114","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2735","334003","2","0","0","0","0","0","","","335002","35003","5030115","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2736","334003","3","0","0","0","0","0","","","335002","35003","5030116","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2737","334003","4","0","0","0","0","0","","","335002","35003","5030117","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2738","334003","5","0","0","0","0","0","","","335002","35003","5030118","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2739","334003","6","0","0","0","0","0","","","335002","35003","5030119","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2740","334004","1","0","0","0","0","0","","","335005","360000","5040114","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2741","334004","2","0","0","0","0","0","","","335005","360000","5040115","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2742","334004","3","0","0","0","0","0","","","335005","360000","5040116","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2743","334004","4","0","0","0","0","0","","","335005","360000","5040117","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2744","334004","5","0","0","0","0","0","","","335005","360000","5040118","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2745","334004","6","0","0","0","0","0","","","335005","360000","5040119","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2746","334005","1","0","0","0","0","0","","","335006","311003","311009","334100","6050114","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2747","334005","2","0","0","0","0","0","","","335006","311003","311009","334100","6050115","6050221","5050323","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2748","334005","3","0","0","0","0","0","","","335006","311003","311009","334100","6050116","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2749","334005","4","0","0","0","0","0","","","335006","311003","311009","334100","6050117","6050221","5050323","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2750","334005","5","0","0","0","0","0","","","335006","311003","311009","334100","6050118","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2751","334005","6","0","0","0","0","0","","","335006","311003","311009","334100","6050119","6050221","5050323","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2752","334006","1","0","0","0","0","0","","","335005","335014","35003","334101","6060114","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2753","334006","2","0","0","0","0","0","","","335005","335014","35003","334101","6060115","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2754","334006","3","0","0","0","0","0","","","335005","335014","35003","334101","6060116","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2755","334006","4","0","0","0","0","0","","","335005","335014","35003","334101","6060117","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2756","334006","5","0","0","0","0","0","","","335005","335014","35003","334101","6060118","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2757","334006","6","0","0","0","0","0","","","335005","335014","35003","334101","6060119","6060525","334007",,,,,,"1","1","5","10","1","1","1",,,,,,"0","0","0","0","1","1","0","","","","",
"2758","334007","1","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2759","334007","2","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2760","334007","3","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2761","334007","4","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2762","334007","5","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2763","334007","6","0","0","0","0","0","","","335007","335014","35012","35030","334008","",,,,,,,"1","1","5","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2764","334008","1","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350800","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2765","334008","2","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350801","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2766","334008","3","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350802","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2767","334008","4","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350803","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2768","334008","5","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350804","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2769","334008","6","0","0","0","0","0","","","335008","335014","360000","334101","334100","341108","350805","334009",,,,,"1","1","15","20","20","1","1","1",,,,,"0","0","0","0","0","1","1","0","","","",
"2770","334009","1","0","0","0","0","0","","","335009","","","",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2771","334009","2","0","0","0","0","0","","","335009","",,"",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2772","334009","3","0","0","0","0","0","","","335009","",,"",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2773","334009","4","0","0","0","0","0","","","335009","",,"",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2774","334009","5","0","0","0","0","0","","","335009","",,"",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2775","334009","6","0","0","0","0","0","","","335009","",,"",,"",,,,,,,"1",,,,,,,,,,,,"0","","","","","","","","","","",
"2776","335000","0","0","0","0","0","0","1","50000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2777","335001","0","0","0","0","0","0","1","100000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2778","335002","0","0","0","0","0","0","1","200000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2779","335010","0","0","0","0","0","0","2","100","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2780","335011","0","0","0","0","0","0","2","500","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2781","335012","0","0","0","0","0","0","2","1000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2782","335020","0","0","0","0","0","0","3","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2783","335021","0","0","0","0","0","0","3","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2784","335022","0","0","0","0","0","0","3","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2785","335030","0","0","0","0","0","0","4","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2786","335031","0","0","0","0","0","0","4","500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2787","335032","0","0","0","0","0","0","4","1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2788","335040","0","0","0","0","0","0","5","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2789","335041","0","0","0","0","0","0","5","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2790","335042","0","0","0","0","0","0","5","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2791","335050","0","0","0","0","0","0","6","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2792","335051","0","0","0","0","0","0","6","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2793","335052","0","0","0","0","0","0","6","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2794","335060","0","0","0","0","0","0","7","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2795","335061","0","0","0","0","0","0","7","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2796","335062","0","0","0","0","0","0","7","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2797","335070","0","0","0","0","0","0","8","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2798","335071","0","0","0","0","0","0","8","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2799","335072","0","0","0","0","0","0","8","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2800","335080","0","0","0","0","0","0","9","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2801","335081","0","0","0","0","0","0","9","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2802","335082","0","0","0","0","0","0","9","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2803","335090","0","0","0","0","0","0","10","10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2804","335091","0","0","0","0","0","0","10","20000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2805","335092","0","0","0","0","0","0","10","50000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2806","335003","0","0","0","0","0","0","1","1000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2807","335013","0","0","0","0","0","0","2","10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2808","337000","0","0","0","0","0","0",,,"40008",,,,,,,,,,,,"5",,,,,,,,,,,,"0",,,,,,,,,,,
"2809","337001","0","0","0","0","0","0",,,"40009",,,,,,,,,,,,"5",,,,,,,,,,,,"0",,,,,,,,,,,
"2810","337002","0","0","0","0","0","0",,,"40010",,,,,,,,,,,,"5",,,,,,,,,,,,"0",,,,,,,,,,,
"2811","337003","0","0","0","0","0","0",,,"40011",,,,,,,,,,,,"5",,,,,,,,,,,,"0",,,,,,,,,,,
"2812","337004","0","0","0","0","0","0",,,"310101","310100",,,,,,,,,,,"1","3",,,,,,,,,,,"0","0",,,,,,,,,,
"2813","335004","0","0","0","0","0","0","1","150000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2814","335005","0","0","0","0","0","0","1","300000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2815","335006","0","0","0","0","0","0","1","500000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2816","335007","0","0","0","0","0","0","1","350000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2817","335008","0","0","0","0","0","0","1","400000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2818","335009","0","0","0","0","0","0","1","450000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2819","335014","0","0","0","0","0","0","2","10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2820","338000","0","0","0","5710","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2821","337005","0","0","0","0","0","0",,,"334100","334101",,,,,,,,,,,"20","20",,,,,,,,,,,"0","0",,,,,,,,,,
"2822","337006","0","0","0","0","0","0",,,"310000","334101",,,,,,,,,,,"1","10",,,,,,,,,,,"0","0",,,,,,,,,,
"2823","337007","0","0","0","0","0","0",,,"40008","40009","40010","40011",,,,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2824","337008","0","0","0","6500","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2825","337009","0","0","0","5270","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2826","337010","0","0","0","6530","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2827","337901","0","0","0","5970","0","0","","",,,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2828","337900","0","0","0","5340","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2829","337902","0","0","0","0","0","0","","","6040114","6040220","6040322","6040424","6040525","6040626","",,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2830","337903","0","0","0","0","0","0",,,"6040115","6040221","6040323","6040424","6040525","6040626","",,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2831","337904","0","0","0","0","0","0",,,"6040116","6040220","6040322","6040424","6040525","6040626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2832","337905","0","0","0","0","0","0","",,"6040117","6040221","6040323","6040424","6040525","6040626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2833","337906","0","0","0","0","0","0","",,"6040118","6040220","6040322","6040424","6040525","6040626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2834","337907","0","0","0","0","0","0","",,"6040119","6040221","6040323","6040424","6040525","6040626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2835","337908","0","0","0","0","0","0","","","7060114","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2836","337909","0","0","0","0","0","0","","","7060115","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2837","337910","0","0","0","0","0","0","","","7060116","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2838","337911","0","0","0","0","0","0","","","7060117","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2839","337912","0","0","0","0","0","0","","","7060118","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2840","337913","0","0","0","0","0","0","","","7060119","7060220","7060322","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2841","337914","0","0","0","0","0","0","","","7060114","7060221","7060323","7060424","7060525","7060626","","","","","","","1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2842","337915","0","0","0","0","0","0","","","7060115","7060221","7060323","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2843","337916","0","0","0","0","0","0","","","7060116","7060221","7060323","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2844","337917","0","0","0","0","0","0","","","7060117","7060221","7060323","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2845","337918","0","0","0","0","0","0","","","7060118","7060221","7060323","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2846","337919","0","0","0","0","0","0","","","7060119","7060221","7060323","7060424","7060525","7060626",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2847","337920","0","0","0","0","0","0","","","337908","337909","337910","337911","337912","337913",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2848","337921","0","0","0","0","0","0","","","337914","337915","337916","337917","337918","337919",,,,,,,"1","1","1","1","1","1",,,,,,,"1","1","1","1","1","1",,,,,,
"2849","337922","0","0","0","0","0","0","","","35055","35056","35057","35058","35059","35060","35061","35062","35063",,,,"4","4","4","4","4","4","4","4","4",,,,"1","1","1","1","1","1","1","1","1",,,
"2850","337923","0","0","0","0","0","0","","","35037","35038","35039","35040","35041","35042","35043","35044","35045",,,,"4","4","4","4","4","4","4","4","4",,,,"1","1","1","1","1","1","1","1","1",,,
"2851","337924","0","0","0","0","0","0","","","35028","35029","35030","35031","35032","35033","35034","35035","35036",,,,"4","4","4","4","4","4","4","4","4",,,,"1","1","1","1","1","1","1","1","1",,,
"2852","337925","0","0","0","0","0","0","","","35019","35020","35021","35022","35023","35024","35025","35026","35027",,,,"4","4","4","4","4","4","4","4","4",,,,"1","1","1","1","1","1","1","1","1",,,
"2853","337926","0","0","0","0","0","0","","","35046","35047","35048","35049","35050","35051","35052","35053","35054",,,,"4","4","4","4","4","4","4","4","4",,,,"1","1","1","1","1","1","1","1","1",,,
"2854","337927","0","0","0","0","0","0","","","337922","337923","337924","337925","337926",,,,,,,,"1","1","1","1","1",,,,,,,,"1","1","1","1","1",,,,,,,
"2855","335100","0","0","0","0","0","0","12","50",,,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2856","335101","0","0","0","0","0","0","12","100",,,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2857","335102","0","0","0","0","0","0","12","500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2858","337011","1","0","0","0","0","0","","","350400","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2859","337011","2","0","0","0","0","0","","","350401","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2860","337011","3","0","0","0","0","0","","","350402","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2861","337011","4","0","0","0","0","0","","","350403","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2862","337011","5","0","0","0","0","0","","","350404","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2863","337011","6","0","0","0","0","0","","","350405","331104","341104","40008","","",,,,,,,"1","1","1","1",,,,,,,,,"0","0","0","0",,,,,,,,
"2864","337928","0","0","0","5980","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2865","337929","0","0","0","5990","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2866","337930","0","0","0","5350","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2867","337931","0","0","0","5360","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2868","337932","0","0","0","5370","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2869","337933","0","0","0","5380","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2870","337934","0","0","0","5390","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2871","337935","0","0","0","5400","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2872","337936","0","0","0","5410","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2873","337937","0","0","0","5420","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2874","337938","0","0","0","5430","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2875","337012","0","0","0","6510","0","0",,,"338000",,,,,,,,,,,,"1",,,,,,,,,,,,"0",,,,,,,,,,,
"2876","337013","0","0","0","6520","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2877","335103","0","0","0","0","0","0","1","10000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2878","335104","0","0","0","0","0","0","1","1000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2879","335105","0","0","0","0","0","0","3","500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2880","335106","0","0","0","0","0","0","3","1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2881","337014","0","0","0","6540","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,
"2882","337939","0","0","","6301","0","0","","",,"","","","","","","","","","","","1","","","","","","","","","","","","0","","","","","","","","","","",""
"2883","337940","0","0","","6302","0","0","","",,,,,"","",,,,,,,"1",,,,,,,,,,,,"0",,,,,,,,,,,
"2884","337941","0","0","","6303","0","0","","",,,,,"","",,,,,,,"1",,,,,,,,,,,,"0",,,,,,,,,,,
